Alexander Rybak,Fairytale,"[Verse 1]
Years ago, when I was younger
I kinda liked a girl I knew
She was mine and we were sweethearts
That was then, but then it's true

[Chorus]
I'm in love with a fairytale
Even though it hurts
'Cause I don't care if I lose my mind
I'm already cursed

[Violin Solo]

[Verse 2]
Every day, we started fighting
Every night, we fell in love
No one else could make me sadder
But no one else could lift me high above (high above)
I don't know what I was doing
When suddenly, we fell apart
Nowadays, I cannot find her
But when I do, we'll get a brand-new start

[Chorus]
I'm in love with a fairytale
Even though it hurts
'Cause I don't care if I lose my mind
I'm already cursed

[Violin Solo]

[Outro]
She's a fairytale, yeah
Even though it hurts
'Cause I don't care if I lose my mind
I'm already cursed

[Violin Solo]"
Ravindra Upadhyay/Vishvesh Parmar/Sandeep Patil,Mila Toh Marega,"[Verse 1]
If the head rises, it will be cut off from the body
Where will it hide, where will it survive?
The path, the path is the ghat
The chessboard of death is laid out
If you rise, you will fall, if you fall, you will be torn apart
If you hide, you will find it, if you find it, you will die
Wake up, wake up, run, run
If you can save yourself, save yourself today
It is a storm, it is an earthquake
It is coming with full force
Who has the courage to fight?
Who could stay standing?

[Verse 2]
The most steadfast most powerful weapon composed blood character
Blood character, blood character, blood character
Blood character, blood character, blood character
Blood character, blood character
The most steadfast most powerful weapon composed blood character
Blood character, blood character, blood character
Blood character, blood character, blood character
The most steadfast most powerful weapon composed blood character
I dream of night, I dream of day
I dream of watching you fade away
Fear me once, fear me twice
Fear me more, I'll shoot you at sight
You better keep running if you want to survive
'Cause every night I dream of watching you die

[Chorus]
Dum, dum dum, dum dum, dum dum, dum dum dances death (Watching you die)
Dum dum dum, dum dum dum, dum dum, dum dum
Blood character, blood character, blood character
Blood character, blood character, blood character
[Bridge]
Path, path par hai Ghat
The chessboard of death is laid out
Wake up, wake up, run, run
If you can save yourself today, save yourself
Dum dum dum, dum dum dum, dum dum dum, death dances
Dum dum dum, dum dum dum, dum dum dum

[Verse 3]
Dance, dance all night
Who knows if I will die tomorrow?
Beat, beat the drum
Beat with your hands and feet
Ho, dance, dance on your fingers
Dance, dance all night
I am the juggler of death
Play the damru and the sword

[Chorus: ]
Dum dum dum dum, dum dum death dances
Blood character, blood character, blood character
Blood character, blood character, blood character
Dum dum dum dum, dum dum death dances

[Hook:]
If I get you, you will die
If I get you, you will die, if I get you, you will die (will die)
Wake up, wake up, run, run
If I get you, you will die (will die), If I get you, you will die, if I get you, you will die (will die)
The chessboard of death is laid out, if I get you, you will die

[Outro]
Dum dum dum, dum dum dum, dum dum dum, dum dum death dances
Dum dum dum, dum dum dum, dum dum,
Dum dum dum, dum dum, Dum dum dum, dum dum death dances
Dum dum dum, dum dum dum, dum dum dum, dum dum"
VTORNIK/Phonk,Money Rain - Phonk Remix,"[Текст песни «Money Rain (Phonk Remix)»]

[Интро: NaDDya]
You have so money
Love dick, я shiny
Пару лямов money on my neck
Gold money rain капает на чек
You have so money
Love dick, я shiny
Пару лямов money on my neck
Gold money rain капает на чек

[Припев: VTORNIK]
Втора is my name, это мой money rain
No pain, no gain, иди нахуй Monday
Втора is my name, ра-та-та, bang, bang
Заряжаю, бля, АК, моя baby — модель
Втора is my name, это мой money rain
No pain, no gain, иди нахуй Monday
Втора is my name, ра-та-та, bang, bang
Заряжаю, бля, АК, моя baby модель

[Куплет 1: VTORNIK]
(Hey, bum!)
Wassup, снимай трусы, если слышишь мой rap
Моя bumy-yummy, твоя bumy с хуями
Единица и нули, зови меня maker of money
Иду за баблом, от сарая до хором
Из деревни, как барон, я иду за баблом
Топ-топ, фи-фи, Eminem и J. Cole
Ma first name — rap, и нахуй rock'n'roll

[Бридж: NaDDya]
You have so money
Love dick, я shiny
Пару лямов money on my neck
Gold money rain капает на чек
You have so money
Love dick, я shiny
Пару лямов money on my neck
Oh... Oh... Oh...

[Куплет 2: VTORNIK]
Нету бабок, будет full bag (Gold)
Голая шея, нужен ice neck
Проебал бабки, скоро comeback
(Втора только не зазнайся, ты ж хороший человек)
Оу, нет, покажи свою жену
Я приду и трахну суку, пять сук, сто сук, ай
(Где твои штаны, man? Help me, мам)
Oh... Thank you, bum
Okay, man, let's go one
(Ты порвал мою жопу)
Сука, пардон
А грязный хуй дымиться во рту, эй
(Fuck you, пидор)
Fuck you, too

[Припев: VTORNIK]
Втора is my name, это мой money rain
No pain, no gain, иди нахуй monday
Втора is my name, ра-та-та, bang, bang
Заряжаю, бля, АК, моя baby модель
Втора is my name, это мой money rain
No pain, no gain, иди нахуй monday
Втора is my name, ра-та-та, bang, bang
Заряжаю, бля, АК, моя baby модель
Втора is my name, это мой money rain
No pain, no gain, иди нахуй monday
Втора is my name, ра-та-та, bang, bang
Заряжаю, бля, АК, моя baby модель

[Аутро: NaDDya]
The money, the money, the money
Rain..."
Mithoon/Mohit Chauhan/Sukhwinder Singh/Badshah/Megha Sriram Dalton/Anugrah/Sandeep Shrivastava,"Bolo Har Har Har (feat. Mohit Chauhan, Sukhwinder Singh, Badshah, Megha Sriram Dalton, Anugrah, Sandeep Shrivastava)","Aag bahe teri rag mein
Tujh sa kahaan koi jag mein
Hai waqt ka tu hi toh pehla pehar
Tu aankh jo khole toh dhaaye kehar
Toh bolo, ""Har-har-har""
Toh bolo, ""Har-har-har""
Toh bolo, ""Har-har-har""
Na aadi, na ant hai uska
Woh sabka, na inka-unka
Wahi hai maala, wahi hai manka
Mast malang woh apni dhun ka
Jantar, mantar, tantar, gyaani
Hai sarvagya swaabhimaani
Mrityunjay hai, mahaavinaashi
Omkaar hai isi ki vaani
Bhaang dhatoora, bel ka patta
Teenon lok isi ki satta
Vish peekar bhi adig, amar hai
Mahadev har-har hai japta (japta)
Wahi shoonya hai, wahi ikaay
Wahi shoonya hai, wahi ikaay
Wahi shoonya hai, wahi ikaay
Jiske bheetar basa Shivaay
Toh bolo, ""Har-har-har""
Toh bolo, ""Har-har-har""
Aghora naam paro mantra
Na astitatvam guroh para (Mahadev)
Naagendrahaaraay trilochanaya
Bhasmaangaragaay maheshvaraya
Nityaaya-Shuddhaya digambaraaya
Tasmay karaay namah Shivaay
Shiv rakshamam, Shiv paahimam
Shiv traahimam, Shiv rakshamam
Shiv paahimam, Shiv paahimam
Mahadev ji tvam paahimam
Sharanagatam tvam paahimam
Aav rakshamam Shiv, Paahimam Shiv
Aankh moond kar dekh raha hai
Saath samay ke khel raha hai
Mahadev, maha-ekaaki
Jiske liye jagat hai jhaanki
Jataa mein Ganga, chaand mukut hai
Saumya kabhi, kabhi bada vikat hai
Aankh se janma hai Kailaashi
Shakti jiski daras ki pyaasi
Hai pyaasi, haan, pyaasi
Ram bhi uska, Raavan uska
Jeevan uska, maran bhi uska
Taandav hai aur dhyaan bhi woh hai
Agyaani ka gyaan bhi woh hai
Aankh teesri jab yeh khole
Hile dhara aur swarg bhi dole
Goonj uthe har disha kshitij mein
Naad usi ka bam-bam Bhole (Bhole)
Wahi shoonya hai, wahi ikaay
Wahi shoonya hai, wahi ikaay
Wahi shoonya hai, wahi ikaay
Jiske bheetar basa Shivaay
Tu hi Shiva, tujh mein hi Shiva
Koi nahi yahaan tere siva
Uda raakh, agni ko jwaala tu kar
Mita de andhere tu ban ke seher
Toh bolo, ""Har-har-har""
Ja, ja Kailash, ja kar vinaash
Ja, ja Kailash, ja kar vinaash
Ja, ja Kailash, ja kar vinaash
Ja, ja Kailash, kar sarvnaash (Toh bolo, ""Har-har-har"")
Ja, ja Kailash, ja kar vinaash
Ja, ja Kailash, ja kar vinaash
Ja, ja Kailash, ja kar vinaash
Ja, ja Kailash, kar sarvnaash (Toh bolo, ""Har-har-har"")
Aankh moond kar dekh raha hai
Saath samay ke khel raha hai
Mahadev, maha-ekaaki
Jiske liye jagat hai jhaanki (Toh bolo, ""Har-har-har"")
Jataa mein Ganga, chaand mukut hai
Saumya kabhi, kabhi bada vikat hai
Aankh se janma hai Kailaashi
Shakti jiski daras ki pyaasi (Toh bolo, ""Har-har-har"")
Yachchha-svaroopaa jataadharaya
Pinaakahastaaya sanaatanaya
Divya devaya digambaraya
Tasmay karaay namah Shivaay"
Piyush Mishra,Aarambh,"Aarambh Hai Prachand
Bole Mastakon Ke Jhund
Aaj Jung Ki Ghadi Ki
Tum Guhaar Do

Aarambh Hai Prachand
Bole Mastakon Ke Jhund
Aaj Jung Ki Ghadi Ki
Tum Guhaar Do

Aan Baan Shaan Ya Ki
Jaan Ka Ho Daan
Aaj Ek Dhanush Ke Baan Pe
Utaar Do

Aarambh Hai Prachand
Bole Mastakon Ke Jhund
Aaj Jung Ki Ghadi Ki
Tum Guhaar Do

Aan Baan Shaan Ya Ki
Jaan Ka Ho Daan
Aaj Ek Dhanush Ke Baan Pe
Utaar Do

Aarambh Hai Prachand

Mann Kare So Praan De
Jo Mann Kare So Praan Le
Wahi Toh Ek Sarvashaktiman Hai

Mann Kare So Praan De
Jo Mann Kare So Praan Le
Wahi Toh Ek Sarvashaktiman Hai

Krishna Ki Pukaar Hai
Yeh Bhagavata Ka Saar Hai
Ki Yuddh Hi Toh Veer Ka Pramaan Hai

Kauravo Ki Bheed Ho Ya
Paandavo Ka Need Ho
Jo Lad Saka Hai
Wohi Toh Mahaan Hai

Jeet Ki Hawas Nahi
Kisi Pe Koyi Vash Nahi
Kya Zindagi Hai
Thokaron Pe Maar Do

Maut Ant Hai Nahi
Toh Maut Se Bhi Kyun Darein
Yeh Jaake Aasmaan Mein Dahaad Do

Aarambh Hai Prachand
Bole Mastakon Ke Jhund
Aaj Jung Ki Ghadi Ki
Tum Guhaar Do

Aan Baan Shaan Ya Ki
Jaan Ka Ho Daan
Aaj Ek Dhanush Ke Baan Pe
Utaar Do

Aarambh Hai Prachand

Ho Daya Ka Bhaav
Ya Ki Shaurya Ka Chunaab
Ya Ki Haar Ka Woh Ghaab
Tum Yeh Soch Lo

Ho Daya Ka Bhaav
Ya Ki Shaurya Ka Chunaab
Ya Ki Haar Ka Woh Ghaab
Tum Yeh Soch Lo

Ya Ki Poore Bhaal Par
Jala Rahe Vijay Ka Laal
Laal Yeh Gulaal
Tum Yeh Soch Lo

Rang Kesari Ho Ya
Mridang Kesari Ho
Ya Ki Kesari Ho Taal
Tum Yeh Soch Lo

Jis Kavi Ki Kalpana Mein
Zindagi Ho Prem Geet
Uss Kavi Ko Aaj Tum Nakaar Do

Bheegti Mason Mein Aaj
Fulti Ragon Mein Aaj
Jo Aag Ki Lapat Ka
Tum Baghaar Do

Aarambh Hai Prachand
Bole Mastakon Ke Jhund
Aaj Jung Ki Ghadi Ki
Tum Guhaar Do

Aan Baan Shaan Ya Ki
Jaan Ka Ho Daan
Aaj Ek Dhanush Ke Baan Pe
Utaar Do

Aarambh Hai Prachand
Aarambh Hai Prachand
Aarambh Hai Prachand
"
Shrylox,Aarmabh Hai Prachand X Polozehnie,"Aarambh Hai Prachand
Bole Mastakon Ke Jhund
Aaj Jung Ki Ghadi Ki
Tum Guhaar Do

Aarambh Hai Prachand
Bole Mastakon Ke Jhund
Aaj Jung Ki Ghadi Ki
Tum Guhaar Do

Aan Baan Shaan Ya Ki
Jaan Ka Ho Daan
Aaj Ek Dhanush Ke Baan Pe
Utaar Do

Aarambh Hai Prachand
Bole Mastakon Ke Jhund
Aaj Jung Ki Ghadi Ki
Tum Guhaar Do

Aan Baan Shaan Ya Ki
Jaan Ka Ho Daan
Aaj Ek Dhanush Ke Baan Pe
Utaar Do

Aarambh Hai Prachand

Mann Kare So Praan De
Jo Mann Kare So Praan Le
Wahi Toh Ek Sarvashaktiman Hai

Mann Kare So Praan De
Jo Mann Kare So Praan Le
Wahi Toh Ek Sarvashaktiman Hai

Krishna Ki Pukaar Hai
Yeh Bhagavata Ka Saar Hai
Ki Yuddh Hi Toh Veer Ka Pramaan Hai

Kauravo Ki Bheed Ho Ya
Paandavo Ka Need Ho
Jo Lad Saka Hai
Wohi Toh Mahaan Hai

Jeet Ki Hawas Nahi
Kisi Pe Koyi Vash Nahi
Kya Zindagi Hai
Thokaron Pe Maar Do

Maut Ant Hai Nahi
Toh Maut Se Bhi Kyun Darein
Yeh Jaake Aasmaan Mein Dahaad Do

Aarambh Hai Prachand
Bole Mastakon Ke Jhund
Aaj Jung Ki Ghadi Ki
Tum Guhaar Do

Aan Baan Shaan Ya Ki
Jaan Ka Ho Daan
Aaj Ek Dhanush Ke Baan Pe
Utaar Do

Aarambh Hai Prachand

Ho Daya Ka Bhaav
Ya Ki Shaurya Ka Chunaab
Ya Ki Haar Ka Woh Ghaab
Tum Yeh Soch Lo

Ho Daya Ka Bhaav
Ya Ki Shaurya Ka Chunaab
Ya Ki Haar Ka Woh Ghaab
Tum Yeh Soch Lo

Ya Ki Poore Bhaal Par
Jala Rahe Vijay Ka Laal
Laal Yeh Gulaal
Tum Yeh Soch Lo

Rang Kesari Ho Ya
Mridang Kesari Ho
Ya Ki Kesari Ho Taal
Tum Yeh Soch Lo

Jis Kavi Ki Kalpana Mein
Zindagi Ho Prem Geet
Uss Kavi Ko Aaj Tum Nakaar Do

Bheegti Mason Mein Aaj
Fulti Ragon Mein Aaj
Jo Aag Ki Lapat Ka
Tum Baghaar Do

Aarambh Hai Prachand
Bole Mastakon Ke Jhund
Aaj Jung Ki Ghadi Ki
Tum Guhaar Do

Aan Baan Shaan Ya Ki
Jaan Ka Ho Daan
Aaj Ek Dhanush Ke Baan Pe
Utaar Do

Aarambh Hai Prachand
Aarambh Hai Prachand
Aarambh Hai Prachand
"
Daler Mehndi/Hrishikesh/Neuman/FRANCO/Shazneen Arethna/Samantha/Sunayana/Tapas Relia,Aasman Ko Chukar,"Aasmaan ko chukar dekha

Taron ke karli savari Chand per bhi nacche

hum Ki Tofaano se yaari ] (x2)

Aasmaan ko chukar dekha Taron ke karli savari

Chand per bhi nacche hum Ki Tofaano se yaari  (x2)

Kya karun aur kya nahi Baat ki se kahi nahi Maujmasti ki adat meri bachpan se gai nahi

Pagalpan yeh kasia hai Kaam yeh jaisa taisa hai Sochti nazakat hai Thodi si shararat hai

Tedha yeh samaan kyon hai Aafat mein jaan kyon hai Mach raha bawaal kyon hai

Ulta yeh dimaag kyon hai [Aasmaan ko chukar dekha Taron ke karli savari Chand per bhi nacche hum Ki Tofaano se yaari ] (x2)

Yeh Yeh yeh ankh micholi Choor dhaku bhoot toli Bum bum bajrang bali Maha bali maha bali Khalbali hi khalbali Dekho hai ho chali Dharti sagar taare raj mere hi pyareeee


[Aasmaan ko chukar dekha Taron ke karli savari Chand per bhi nacche hum Ki Tofaano se yaari ] (x2)

Kya karun kya nahi Baat ki se kahi nahi Maujmasti ki adat meri bachpan se gai nahi

[Aasmaan ko chukar dekha Taron ke karli savari Chand per bhi nacche hum Ki Tofaano se yaari ] (x2)"
Dev Next Level/Acyuta Gopi,Bhaj Man Radhe Govinda,"Bhaj Man, Radhe, (Radhe) Radhe, (Radhe) Radhe Govinda
Radhe, (Radhe) Radhe, (Radhe) Radhe Govinda
Bhaj Man, Radhe, (Radhe) Radhe, (Radhe) Radhe Govinda
Bhaj Man, Radhe, (Radhe) Radhe, (Radhe) Radhe Govinda
Bhaj Man, Radhe, (Radhe) Radhe, (Radhe) Radhe Govinda
Govinda, Govinda, Govinda Radhe
Govinda, Govinda, Govinda Radhe
Govinda, Govinda, Govinda Radhe
Govinda, Govinda, Govinda Radhe
Govinda, Govinda, Govinda Radhe
Bhaj Man, Radhe, (Radhe) Radhe, (Radhe) Radhe Govinda
Radhe, (Radhe) Radhe, (Radhe) Radhe Govinda
Bhaj mind, Radhe, (Radhe) Radhe, (Radhe) Radhe Govinda
Bhaj Man, Radhe, (Radhe) Radhe, (Radhe) Radhe Govinda
Bhaj Man, Radhe, (Radhe) Radhe, (Radhe) Radhe Govinda
Bhaj Man, Radhe, (Radhe) Radhe, (Radhe) Radhe Govinda
Govinda, Govinda, Govinda Radhe
Govinda, Govinda, Govinda Radhe
Govinda, Govinda, Govinda Radhe
Govinda, Govinda, Govinda Radhe
Govinda, Govinda, Govinda Radhe
Govinda, Govinda, Govinda Radhe
Dev Next Level
Radhe
Govinda, Govinda, Govinda Radhe
Govinda, Govinda, Govinda Radhe
Dev Next Level"
Benny Dayal/Siddharth Basrur/Pranay Rijia,Get Ready To Fight,"Come on, come on, come on now get up and go
Nas-nas mein tu josh jaga
Kuch bhi nahin easy here
Apni Rahen Khud Hi Hi
Work hard, don't sweat
Rukna aur thakna hai mana
Jitna chahe 'gar tu here
Prepare yourself
Get ready to fight
Get ready to fight
Get ready to fight
Get ready to fight
Get ready to fight
Tough, tough, tough life here
Show that you are tougher than that
Move forward moment by moment
Reach the destination yourself
Aaj ke agae kal ko zuka
Soch na tu ab, karke dikha
Jitna chahe 'gar tu here
Prepare yourself
Get ready to fight
Get ready to fight
Get ready to fight
Get ready to fight
Get ready to fight
We're goin' in like there's nothin' to lose
Nothin' to prove; it's all about positive attitude
Get down again, back up again
Come on, shake up that force code
Life is too short (Yeah)
Loud, Tu Jan Laga
Make your own identity
Jitna chahe 'gar tu here
Prepare yourself
Get ready to fight
Get ready to fight
Get ready to fight
Get ready to fight
Get ready to fight"
Ajay Ashok Gogavale/Atul Ashok Gogavale/ROHIT SHASTRI,Hai Katha Sangram Ki,"Hai Katha Sangram Ki
Vishv Ke Kalyaan Ki
Dharm Adharm Aadi-Anant
Satya Asatya Kalesh Kalnak
Svaarth Ki Katha Parmarth Ki
Shakti Hai Bhakti Hai
Janmo Ki Mukti Hai
Jeewan Ka Yeh Sampurn Saar Hai
Yug Yug Se Kann Kann Mein
Shristi Ke Darpan Mein
Vedon Ki Katha Apaar Hai
Dharmon Ki Gaatha Hai
Devon Ki Bhasha Hai
Sadiyon Ke Itihaas Ka Pramaan Hai
Krishna Ki Mahima Hai
Geeta Ki Garima Hai
Grantho Ka Granth Yeh Mahan Hai
Mahabharat Mahabharat
Mahabharat Mahabharat..."
Viruss,Bam Bam Bhole,"Har Har Mahadev Shiv Shambhu
Har Har Mahadev shiv Shambhu
Bam Bam Bam bhole bhole
Bam Bam Bam Bhole Bhole ...
Bam Bam Bam
Karta kare naa kar sake
Shiv kare so hoye
Teen lok 9 khand main
Mahakal se bada naa koi
Karta kare naa kar sake
Shiv kare so hoye
Teen lok 9 khand main
Mahakal se bada naa koi
Devo ka vo dev jiska
Vaas hai Kailash pe
Chal rahi ye duniya bhole
Bas tere vishvaas pe
Tu hi bhakti hai
Tu hi shakti hai
Mann ye bas mera
Tere liye dole
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam
Kashi main kedar main
Ujjain omkaar main
Bhole tere dhaam jaisa
Kuch bhi naa sanasaar main
Kashi main kedar main
Ujjain omkaar main
Bhole tere dhaam jaisa
Kuch bhi naa sanasaar main
Woh toh basta hai
Har ek kankar main
Baat khaas hi hai
Mere Bhole shankar main
Sirjan Tu ant Tu
Aadi anant tu
Milke aaj saare
Mere sang bole
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam
Bhakti ka bhandar hai
Basm ka shringaar hai
Haan woh bholenath hai jo
Jeevan ka saar hai
Bhakti ka bhandar hai
Basm ka shringaar hai
Haan woh bholenath hai jo
Jeevan ka saar hai
Woh hai mandir main
Woh shamshaan main
Woh hai shehron main
Woh viraan main
Haath tera mujhpe hai
Choda sab tujhpe hai
Kaam mere sab bnayega tu
Haule haule
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam Bhole Bhole
Bam bam bam...
"
